"brand","screenSize","screenTech","energyConsumption","star","model_cleaned"
"aiwa",24,"LED",105,4,"AWC240WZ"
"aiwa",24,"LED",82,5,"AWC240G"
"aiwa",24,"LCD",91,4.5,"AW240DVD"
"aiwa",31,"LED",145,4.5,"AWC320WZ"
"aiwa",31,"LED",104,6,"AWA320S"
"aiwa",32,"LED",125,5,"AWS320DVD"
"aiwa",32,"LED",116,5.5,"AWC320G"
"aiwa",39,"LED",148,6,"AWA400S"
"aiwa",39,"LCD",189,5,"AWS400G"
"aiwa",40,"LED",198,4.5,"AWS400W"
"aiwa",42,"LED",210,4.5,"AWS420W"
"aiwa",49,"LED",265,5,"AWA500US"
"aiwa",50,"LED",211,6,"AWS500W"
"aiwa",50,"OLED",276,5,"AWS500G"
"aiwa",55,"LCD",320,5,"AWA550US"
"aiwa",64,"LCD",404,5.5,"AWS650G"
"aiwa",64,"LED",499,4.5,"AWA650US"
"aiwa",65,"LED",468,4.5,"AWS650W"
"aiwa",70,"LED",576,4.5,"AWS700W"
"akai",24,"LED",68,6,"AK2421FHD"
"akai",24,"LED",68,6,"AK2421HD"
"akai",24,"LED",68,6,"AK2421S5D"
"akai",24,"LED",60,6,"AK2422S7WOS"
"akai",24,"LED",60,6,"AK24S7WOS"
"akai",24,"LED",60,6,"AK2423S7WOS"
"akai",31,"LCD",104,6,"AK3221NF"
"akai",32,"LED",101,6,"AK3220HD"
"akai",32,"LCD",90,6,"AK3223S7WOS"
"akai",32,"LED",98,6,"AK3221S6WOS"
"akai",39,"LCD",150,6,"AK4022S7WOS"
"akai",39,"LCD",149,6,"AK4021NF"
"akai",39,"LCD",131,6,"AK4021S6WOS"
"akai",43,"LCD",172,6,"AK4324S7WOS"
"akai",49,"LCD",225,6,"AK5022S7TZN"
"akai",50,"LCD",204,6,"AK5020NF"
"akai",50,"LED",202,6,"AK5021S6WOS"
"akai",55,"LCD",272,6,"AK5522S7TZN"
"akai",55,"LED",251,6,"AK5520NF"
"akai",55,"LED",267,6,"AK5521NF"
"akai",55,"LED",256,6,"AK55324S7WOS"
"akai",58,"LED",301,6,"AK5821S6WOS"
"akai",65,"LCD",370,6,"AK6522S7TZN"
"akai",65,"LCD",368,6,"AK6520NF"
"akai",65,"LED",362,6,"AK6521NF"
"akai",65,"LED",367,6,"AK6521S6WOS"
"akai",70,"LCD",372,6,"AK7021S6WOS"
"akai",74,"LCD",480,6,"AK7522S7TZN"
"akai",75,"LED",404,6,"AK7521S6WOS"
"akai",75,"LED",474,6,"AK7523S7WOS"
"akai",85,"LCD",600,6,"AK8521S6WOS"
"altius",24,"LCD",66,6,"AT24HDWBCF"
"altius",32,"LED",102,6,"AT32HDW2BCF"
"altius",32,"LCD",90,6,"AT32HDWBCF"
"aoa",19,"LED",58,5,"LTD19FT"
"aoa",32,"LCD",119,5,"LTW32HD"
"aoa",40,"LCD",176,5,"LTW40FHD"
"aoa",50,"LED",270,5,"LTW50UHD"
"avel innovations",24,"LED",90,4.5,"AVS240WS"
"avel innovations",24,"LED",91,4.5,"AVS240KS"
"avel innovations",32,"LED",145,4.5,"AVS325KS"
"bauhn",24,"LCD",66,6,"ATV24HDW0224"
"bauhn",24,"LED",61,6,"ATV24HDG0223"
"bauhn",24,"LCD",68,6,"ATV24HDW0225"
"bauhn",24,"LED",67,6,"ATV24FHDC0620"
"bauhn",24,"LED",67,6,"ATV24FHDC0221"
"bauhn",31,"LED",104,6,"ATV32HDG0423"
"bauhn",31,"LED",104,6,"ATV32HDG1022"
"bauhn",31,"LED",104,6,"ATV32HDG0722"
"bauhn",31,"LCD",104,6,"ATV32HDS0420"
"bauhn",32,"LCD",101,6,"ATV32HDC0222"
"bauhn",32,"LED",101,6,"ATV32HDW0424"
"bauhn",32,"LED",101,6,"ATV32HDW0824"
"bauhn",32,"LED",101,6,"ATV32HDW"
"bauhn",32,"LED",101,6,"ATV32HDW0624"
"bauhn",32,"LED",99,6,"ATV32HD1121"
"bauhn",32,"LED",105,6,"ATV32HDG1021"
"bauhn",39,"LCD",151,6,"ATV40FHDG09"
"bauhn",39,"LCD",151,6,"ATV40FHDG0322"
"bauhn",39,"LCD",151,6,"ATV40FHDG0721"
"bauhn",39,"LED",149,6,"ATV40FHDS1220"
"bauhn",39,"LED",149,6,"ATV40FHDS0720"
"bauhn",39,"LED",148,6,"ATV40FHDG1122"
"bauhn",39,"LED",148,6,"ATV40FHDG0822"
"bauhn",39,"LED",148,6,"ATV40FHDG1123"
"bauhn",40,"LED",189,5,"ATV40UHDW0124"
"bauhn",40,"LED",189,5,"ATV40UHDW0324"
"bauhn",40,"LED",189,5,"ATV40UHDW"
"bauhn",41,"LCD",157,6,"ATV42FHDW1221"
"bauhn",43,"LCD",172,6,"ATV43FHDW1124"
"bauhn",43,"LCD",172,6,"ATV43FHDW0125"
"bauhn",43,"LCD",172,6,"ATV43FHDW"
"bauhn",43,"LED",170,6,"ATV43UHDT0123"
"bauhn",43,"LED",170,6,"ATV43UHDT0723"
"bauhn",49,"LCD",220,6,"ATV50UHDW0422"
"bauhn",49,"LCD",225,6,"ATV50UHDT0323"
"bauhn",49,"LCD",225,6,"ATV50UHDT0823"
"bauhn",49,"LED",220,6,"ATV50UHDS0820"
"bauhn",50,"LCD",220,6,"ATV50UHD1120"
"bauhn",50,"LED",225,6,"ATV50UHDG0521"
"bauhn",50,"LED",210,6,"ATV50UHDW0424"
"bauhn",55,"LCD",305,5.5,"ATV55UHDQ0722"
"bauhn",55,"LED",272,6,"ATV55UHDW0124"
"bauhn",55,"LCD",272,6,"ATV55UHDT0723"
"bauhn",55,"LED",267,6,"ATV55UHDS0920"
"bauhn",55,"LED",256,6,"ATV55UHDW1024"
"bauhn",55,"LED",256,6,"ATV55UHDW0125"
"bauhn",55,"LED",256,6,"ATV55UHDW"
"bauhn",57,"LCD",298,6,"ATV58UHDG0121"
"bauhn",57,"LCD",298,6,"ATV58UHDG0320"
"bauhn",57,"LCD",275,6,"ATV58UHDW0322"
"bauhn",58,"LED",301,6,"ATV58UHDW0421"
"bauhn",58,"LCD",298,6,"ATV58UHDG0920"
"bauhn",60,"LCD",296,6,"ATV60UHDW1023"
"bauhn",60,"LCD",296,6,"ATV60UHDW1122"
"bauhn",60,"LCD",299,6,"ATV60UHDW0824"
"bauhn",60,"LCD",320,6,"ATV60UHDW1121"
"bauhn",65,"LED",360,6,"ATV65UHDT0123"
"bauhn",65,"LED",360,6,"ATV65UHDT0922"
"bauhn",65,"LCD",371,6,"ATV65UHD0420"
"bauhn",65,"LCD",345,6,"ATV65UHDS1020"
"bauhn",65,"LED",367,6,"ATV65UHDW1021"
"bauhn",65,"LCD",360,6,"ATV65UHDS1221"
"bauhn",65,"LCD",371,6,"ATV65UHDG0620"
"bauhn",70,"LCD",420,6,"ATV70UHDT0623"
"bauhn",70,"LCD",397,6,"ATV70UHDW1124"
"bauhn",70,"LCD",405,6,"ATV70UHDW0921"
"bauhn",70,"LCD",420,6,"ATV70UHDT1022"
"bauhn",70,"LED",400,6,"ATV70UHDW0624"
"bauhn",70,"LED",400,6,"ATV70UHDW0325"
"bauhn",70,"LCD",405,6,"ATV70UHDW0321"
"bauhn",70,"LCD",395,6,"ATV70UHDW0422"
"bauhn",70,"LCD",395,6,"ATV70UHDW0923"
"bauhn",70,"LCD",395,6,"ATV70UHDW1123"
"bauhn",70,"LCD",395,6,"ATV70UHDW"
"bauhn",74,"LCD",480,6,"ATV75UHDT0423"
"bauhn",75,"LED",393,6,"ATV75UHDW0621"
"bauhn",75,"LED",469,6,"ATV75UHDW0622"
"bauhn",75,"LCD",490,6,"ATV75UHDW0924"
"bauhn",75,"LED",474,6,"ATV75UHDW0324"
"bauhn",82,"LED",651,5.5,"ATV82UHDW0721"
"bauhn",85,"LCD",600,6,"ATV85UHDW0122"
"bauhn",85,"LCD",600,6,"ATV85UHDW0322"
"blaupunkt",24,"LCD",84,5,"BP240HSG9200"
"blaupunkt",24,"LCD",78,5,"BP240HSG9800"
"blaupunkt",24,"LED",105,4,"BP240HSG9700"
