"Model_No","Screen_Tech","Labelled energy consumption (kWh/year)","GrandDate","Star2","Category_Screen_inches"
"CTF2291","LCD",94,"2013-05-21",5,"22"
"LEDV1605DT","LCD",76,"2022-03-07",4,"22"
"TH-P42ST50Z","Plasma",369,"2013-05-21",3.5,"43"
"TH-P50ST50Z","Plasma",504,"2013-05-21",3.5,"50"
"TH-L32X50Z","LCD (LED)",110,"2013-05-21",6,"32"
"TH-L32E5Z","LCD (LED)",145,"2013-05-21",5.5,"32"
"TH-L42E5Z","LCD (LED)",206,"2013-05-21",6,"43"
"TH-L47E5Z","LCD (LED)",257,"2013-05-21",6,"50"
"TH-P42UT50Z","Plasma",413,"2013-05-21",3,"43"
"TH-P50UT50Z","Plasma",504,"2013-05-21",3.5,"50"
"TH-P42X50Z","Plasma",329,"2013-05-21",4,"43"
"TH-P50X50Z","Plasma",449,"2013-05-21",4,"50"
"VISLED1960HD","LCD (LED)",100,"2013-05-21",7,"32"
"VISLED3260HD","LCD (LED)",86,"2013-05-21",7,"32"
"VN1980LED/DVD-C","LCD (LED)",76,"2013-05-21",5,"22"
"TC2430LED/DVD-C","LCD (LED)",94,"2013-05-21",5.5,"22"
"VN2280LED-FHD-C","LCD (LED)",89,"2013-05-21",5,"22"
"KDL32MS611A","LCD (LED)",195,"2013-05-21",4,"32"
"KDL32MS65A","LCD (LED)",195,"2013-05-21",4,"32"
"KDL39MS615A","LCD (LED)",282,"2013-05-21",4,"43"
"KDL42MS611A","LCD (LED)",252,"2013-05-21",5,"43"
"VISLED1965HD","LCD (LED)",100,"2013-05-21",7,"32"
"BL32X19NZ","LCD (LED)",138,"2013-05-21",5.5,"32"
"32618","LCD (LED)",138,"2013-05-21",5.5,"32"
"BL39X19NZ","LCD (LED)",208,"2013-05-21",5,"43"
"39618","LCD (LED)",208,"2013-05-21",5,"43"
"BL48X19NZ","LCD (LED)",410,"2013-05-21",4,"50"
"48618","LCD (LED)",410,"2013-05-21",4,"50"
"VN39D3LED","LCD (LED)",271,"2013-05-21",3,"43"
"VN4219LED","LCD (LED)",224,"2013-05-21",4.5,"43"
"VN4018LED","LCD (LED)",225,"2013-05-21",4,"43"
"UA32FH4003W","LCD (LED)",90,"2013-05-21",6,"32"
"VN42S90LED","LCD (LED)",240,"2013-05-21",4,"43"
"VN50S90LED","LCD (LED)",444,"2013-05-21",3,"50"
"UA32J4003AW","LCD (LED)",89,"2013-05-21",6,"32"
"UA55J5500ASXNZ","LCD (LED)",279,"2013-05-21",5.5,"50"
"UA40JU6600SXNZ","LCD (LED)",214,"2013-05-21",4.5,"43"
"VN4019LED","LCD (LED)",225,"2013-05-21",4,"43"
"VN3219LEDDVD","LCD (LED)",134,"2013-05-21",4.5,"32"
"VN3299LEDDVD","LCD (LED)",134,"2013-05-21",4.5,"32"
"VN4099LED","LCD (LED)",225,"2013-05-21",4,"43"
"VN5519LED","LCD (LED)",367,"2013-05-21",4.5,"50"
"VN2212LED-A","LCD (LED)",91,"2013-05-21",4,"22"
"VN1912LEDDVD-A","LCD (LED)",76,"2013-05-21",4,"22"
"VN1912LED-A","LCD (LED)",90,"2013-05-21",3,"22"
"VN2481LED","LCD (LED)",105,"2013-05-21",4,"22"
"VN24J1LEDDVD","LCD (LED)",105,"2013-05-21",4,"22"
"VN4019LEDDVD","LCD (LED)",210,"2013-05-21",4.5,"43"
"VN6508LED","LCD",403,"2013-05-21",6,"65"
"VN50HB28LED","LCD (LED)",286,"2013-05-21",4.5,"50"
"VN40HB28LED","LCD (LED)",216,"2013-05-21",4,"43"
"UHF42MH","LCD",221,"2013-05-21",4.5,"43"
"VN1912LED-B","LCD (LED)",90,"2013-05-21",3,"22"
"VN5019LED","LCD (LED)",345,"2013-05-21",4,"50"
"VN4315LED","LCD (LED)",233,"2013-05-21",4.5,"43"
"VN5815LED","LCD (LED)",458,"2013-05-21",4.5,"65"
"VN1912LEDDVD-B","LCD (LED)",76,"2013-05-21",4,"22"
"VN3299LEDDVD-A","LCD (LED)",134,"2013-05-21",4.5,"32"
"PTL3206LED","LCD (LED)",152,"2013-05-21",4,"32"
"PTL4019LED","LCD (LED)",218.4,"2013-05-21",4,"43"
"PTL5019LED","LCD (LED)",345,"2013-05-21",4,"50"
"55UHD","LCD",608,"2013-05-21",2,"50"
"65UHD","LCD",681,"2013-05-21",3,"65"
"VN5419LED","LCD (LED)",115,"2013-05-21",3.5,"22"
"VN4806LED","LCD (LED)",285,"2013-05-21",4.5,"50"
"VN5506LED","LCD",461,"2013-05-21",3.5,"50"
"AV6088LED","LCD",434,"2013-05-21",4.5,"65"
