"Brand_final","Count(Model_No)"
"SAMSUNG",1090
"KOGAN",757
"LG",621
"HISENSE",288
"JVC",132
"SYLVOX",131
"PHILIPS",127
"TCL",124
"EKO",99
"VEON",98
"PANASONIC",97
"SONY",96
"BAUHN",83
"BLAUPUNKT",80
"TOSHIBA",56
"CAIXUN",55
"EMETE",55
"CHIQ",52
"AIWA",43
"KONKA",41
"LINSAR",36
"LOEWE",36
"ENGLAON",34
"FFALCON",30
"AKAI",28
"SPARKELECTRONICS",25
"DIGITECH",24
"WALTON",24
"SKYWORTH",23
"KONIC",17
"TEAC",17
"TELEFUNKEN",17
"SHARP",16
"ILUMA",14
"POLAROID",14
"SPHERE",13
"COOCAA",12
"EVOKE",10
"QBELL",10
"TECO",9
"PRISM",8
"HYUNDAI",7
"METZ",7
"ALTIUS",6
"BLUESEN",6
"SVISION",6
"AOA",5
"AVIO",5
"KODAK",5
"PLATINUM",5
"SMARTTECH",5
"SMTV",5
"SONIQ",5
"YOKOHAMA",5
"FURRION",4
"MONSTER",4
"SHENZHENXINCHAODATECHNOLOGYCOLTD",4
"THOMSON",4
"ZENTV",4
"AVELINNOVATIONS",3
"DISHTV",3
"FPD",3
"HUBBL",3
"MYVI",3
"UNIDEN",3
"VISIONE",3
"DEVANTI",2
"GORILLA",2
"TRANSONIC",2
"ARK",1
"BREWO",1
"BROOKLYN",1
"DECAMAX",1
"DYNALINK",1
"LSPTV",1
"MITSUMARU",1
"PALSONIC",1
"RCA",1
"SHARETV",1
"SIGNIFY",1
"STANCASH",1
"TAVICE",1
"TENET",1
"VDT",1
"WINTAL",1
